Plot ,Rank,Species,Height ,Year
LGMA_Ex,1,AGE,102,2019
LGMA_OP,1,AGE,90,2019
LGMB_Ex,1,DES,119,2019
LGMB_OP,1,RUB,69,2019
LGMC_Ex,1,RUB,107,2019
LGMC_OP,1,RUB,59,2019
LGMD_Ex,1,RUB,95,2019
LGMD_OP,1,AMP,48,2019
LGME_Ex,1,RIB,99,2019
LGME_OP,1,RUB,92,2019
LGMF_Ex,1,GOLD,80,2019
LGMF_OP,1,AMP,31.5,2019
HGMC_Ex,1,WOOD,103,2019
HGMC_OP,1,RIB,121,2019
HGMB_Ex,1,ASH,68,2019
HGMB_OP,1,CRY,84,2019
HGMA_Ex,1,RUB,126,2019
HGMA_OP,1,DES,99,2019
HGMD_Ex,1,CRY,99,2019
HGMD_OP,1,AMP,47,2019
HGMF_Ex,1,RIB,136,2019
HGMF_OP,1,DES,102,2019
LGMA_Ex,1,AGE,102,2020
LGMA_OP,1,AGE,120,2020
LGMB_Ex,1,ASP,189,2020
LGMB_OP,1,RUB,105,2020
LGMC_Ex,1,RUB,155,2020
LGMC_OP,1,RUB,108,2020
LGMD_Ex,1,RUB,200,2020
LGMD_OP,1,FERN,67,2020
LGME_Ex,1,CIR,70,2020
LGME_OP,1,RUB,75,2020
LGMF_Ex,1,GOLD,75,2020
LGMF_OP,1,DES,51,2020
HGMC_Ex,1,DES,123,2020
HGMC_OP,1,ALL,103,2020
HGMB_Ex,1,DES,88,2020
HGMB_OP,1,ALL,107,2020
HGMA_Ex,1,RUB,200,2020
HGMA_OP,1,RUB,115,2020
HGMD_Ex,1,PHR,77,2020
HGMD_OP,1,ALL,145,2020
HGMF_Ex,1,GOLD,96,2020
HGMF_OP,1,ALL,99,2020
LGMA_Ex,1,DES,101,2021
LGMA_OP,1,RUB,84,2021
LGMB_Ex,1,ASP,200,2021
LGMB_OP,1,RUB,200,2021
LGMC_Ex,1,RUB,160,2021
LGMC_OP,1,RUB,175,2021
LGMD_Ex,1,RUB,200,2021
LGMD_OP,1,FERN,72,2021
LGME_Ex,1,DES,45,2021
LGME_OP,1,ALL,80,2021
LGMF_Ex,1,ALL,118,2021
LGMF_OP,1,GOLD,28,2021
HGMC_Ex,1,WOOD,105,2021
HGMC_OP,1,CRY,43,2021
HGMB_Ex,1,DES,109,2021
HGMB_OP,1,RUB,170,2021
HGMA_Ex,1,RUB,200,2021
HGMA_OP,1,RUB,200,2021
HGMD_Ex,1,ASH,85,2021
HGMD_OP,1,DES,48,2021
HGMF_Ex,1,WOOD,79,2021
HGMF_OP,1,GRASS,66,2021
LGMA_Ex,1,DES,41,2022
LGMA_OP,1,RUB,51,2022
LGMB_Ex,1,ASP,200,2022
LGMB_OP,1,BC,50,2022
LGMC_Ex,1,RUB,115,2022
LGMC_OP,1,RUB,200,2022
LGMD_Ex,1,RUB,200,2022
LGMD_OP,1,FERN,63,2022
LGME_Ex,1,RUB,174,2022
LGME_OP,1,RUB,64,2022
LGMF_Ex,1,GER,47,2022
LGMF_OP,1,ALL,75,2022
HGMC_Ex,1,WOOD,83,2022
HGMC_OP,1,ALL,77,2022
HGMB_Ex,1,ALL,83,2022
HGMB_OP,1,RUB,160,2022
HGMA_Ex,1,RUB,200,2022
HGMA_OP,1,RUB,107,2022
HGMD_Ex,1,ASH,106,2022
HGMD_OP,1,RUB,33,2022
HGME_Ex,1,WOOD,77,2022
HGME_OP,1,DES,33,2022
HGMF_Ex,1,WOOD,69,2022
HGMF_OP,1,CONE,54,2022
LGMA_Ex,2,AGE,100,2019
LGMA_OP,2,RUB,85,2019
LGMB_Ex,2,DES,115,2019
LGMB_OP,2,GRASS,68,2019
LGMC_Ex,2,AMP,90,2019
LGMC_OP,2,AMP,49,2019
LGMD_Ex,2,AMP,39,2019
LGMD_OP,2,AMP,45,2019
LGME_Ex,2,ASH,70,2019
LGME_OP,2,AMP,66,2019
LGMF_Ex,2,AMP,74,2019
LGMF_OP,2,YAM,31,2019
HGMC_Ex,2,RIB,102,2019
HGMC_OP,2,CRY,62,2019
HGMB_Ex,2,PHR,66,2019
HGMB_OP,2,CRY,76,2019
HGMA_Ex,2,GRASS,105,2019
HGMA_OP,2,AMP,75,2019
HGMD_Ex,2,CRY,93,2019
HGMD_OP,2,DES,45,2019
HGMF_Ex,2,PHR,97,2019
HGMF_OP,2,DES,94,2019
LGMA_Ex,2,AGE,97,2020
LGMA_OP,2,AGE,105,2020
LGMB_Ex,2,UNK,105,2020
LGMB_OP,2,GRASS,81,2020
LGMC_Ex,2,RUB,128,2020
LGMC_OP,2,DES,58,2020
LGMD_Ex,2,CIR,97,2020
LGMD_OP,2,FERN,54,2020
LGME_Ex,2,DES,68,2020
LGME_OP,2,DES,69,2020
LGMF_Ex,2,GOLD,65,2020
LGMF_OP,2,DES,38,2020
HGMC_Ex,2,WOOD,114,2020
HGMC_OP,2,ALL,77,2020
HGMB_Ex,2,CIR,73,2020
HGMB_OP,2,ALL,95,2020
HGMA_Ex,2,RUB,200,2020
HGMA_OP,2,CRY,74,2020
HGMD_Ex,2,ASH,73,2020
HGMD_OP,2,ALL,133,2020
HGMF_Ex,2,CRY,86,2020
HGMF_OP,2,CRY,57,2020
LGMA_Ex,2,DES,89,2021
LGMA_OP,2,AGE,82,2021
LGMB_Ex,2,RUB,162,2021
LGMB_OP,2,DES,64,2021
LGMC_Ex,2,AGE,71,2021
LGMC_OP,2,DES,54,2021
LGMD_Ex,2,RUB,200,2021
LGMD_OP,2,FERN,53,2021
LGME_Ex,2,DES,43,2021
LGME_OP,2,RUB,55,2021
LGMF_Ex,2,STICK,94,2021
LGMF_OP,2,GOLD,27,2021
HGMC_Ex,2,WOOD,96,2021
HGMC_OP,2,CRY,38,2021
HGMB_Ex,2,BC,102,2021
HGMB_OP,2,RUB,148,2021
HGMA_Ex,2,RUB,142,2021
HGMA_OP,2,RUB,104,2021
HGMD_Ex,2,ASH,83,2021
HGMD_OP,2,CRY,45,2021
HGMF_Ex,2,CRY,76,2021
HGMF_OP,2,GRASS,57,2021
LGMA_Ex,2,GEUM,35,2022
LGMA_OP,2,AGE,43,2022
LGMB_Ex,2,RUB,105,2022
LGMB_OP,2,DES,33,2022
LGMC_Ex,2,GER,55,2022
LGMC_OP,2,BOX,33,2022
LGMD_Ex,2,RUB,69,2022
LGMD_OP,2,FERN,59,2022
LGME_Ex,2,RUB,46,2022
LGME_OP,2,RUB,51,2022
LGMF_Ex,2,GOLD,42,2022
LGMF_OP,2,ALL,63,2022
HGMC_Ex,2,WOOD,82,2022
HGMC_OP,2,ALL,76,2022
HGMB_Ex,2,CRY,41,2022
HGMB_OP,2,RUB,119,2022
HGMA_Ex,2,RUB,191,2022
HGMA_OP,2,ALL,42,2022
HGMD_Ex,2,ASH,104,2022
HGMD_OP,2,RUB,31,2022
HGME_Ex,2,WOOD,76,2022
HGME_OP,2,GER,26,2022
HGMF_Ex,2,RAN MIC,69,2022
HGMF_OP,2,DES,39,2022
LGMA_Ex,3,DES,99,2019
LGMA_OP,3,AGE,82,2019
LGMB_Ex,3,DES,88,2019
LGMB_OP,3,DES,42,2019
LGMC_Ex,3,AGE,56,2019
LGMC_OP,3,GEUM,44,2019
LGMD_Ex,3,CIR,38,2019
LGMD_OP,3,DES,44,2019
LGME_Ex,3,DES,68,2019
LGME_OP,3,DES,54,2019
LGMF_Ex,3,GRASS,62,2019
LGMF_OP,3,AMP,30,2019
HGMC_Ex,3,DES,101,2019
HGMC_OP,3,DES,61,2019
HGMB_Ex,3,DES,60,2019
HGMB_OP,3,CRY,66,2019
HGMA_Ex,3,AMP,90,2019
HGMA_OP,3,CRY,83,2019
HGMD_Ex,3,CRY,85,2019
HGMD_OP,3,WOOD,55,2019
HGMF_Ex,3,WOOD,100,2019
HGMF_OP,3,DES,72,2019
LGMA_Ex,3,AGE,95,2020
LGMA_OP,3,AGE,94,2020
LGMB_Ex,3,DES,61,2020
LGMB_OP,3,DES,68,2020
LGMC_Ex,3,AGE,88,2020
LGMC_OP,3,ASP,54,2020
LGMD_Ex,3,CIR,74,2020
LGMD_OP,3,AMP,53,2020
LGME_Ex,3,ASP,61,2020
LGME_OP,3,ASP,48,2020
LGMF_Ex,3,GOLD,52,2020
LGMF_OP,3,GOLD,32,2020
HGMC_Ex,3,WOOD,102,2020
HGMC_OP,3,CRY,48,2020
HGMB_Ex,3,GER,64,2020
HGMB_OP,3,ALL,78,2020
HGMA_Ex,3,GRASS,200,2020
HGMA_OP,3,CRY,66,2020
HGMD_Ex,3,PHR,72,2020
HGMD_OP,3,ALL,105,2020
HGMF_Ex,3,ALL,82,2020
HGMF_OP,3,ASH,48,2020
LGMA_Ex,3,DES,86,2021
LGMA_OP,3,AGE,69,2021
LGMB_Ex,3,DES,121,2021
LGMB_OP,3,DES,58,2021
LGMC_Ex,3,AGE,65,2021
LGMC_OP,3,DES,40,2021
LGMD_Ex,3,PAR,35,2021
LGMD_OP,3,DES,50,2021
LGME_Ex,3,CIR,43,2021
LGME_OP,3,RUB,40,2021
LGMF_Ex,3,GOLD,82,2021
LGMF_OP,3,DES,27,2021
HGMC_Ex,3,WOOD,95,2021
HGMC_OP,3,DES,37,2021
HGMB_Ex,3,DES,70,2021
HGMB_OP,3,ASH,65,2021
HGMA_Ex,3,GER,60,2021
HGMA_OP,3,CRY,84,2021
HGMD_Ex,3,GER,75,2021
HGMD_OP,3,JEWEL,45,2021
HGMF_Ex,3,CRY,70,2021
HGMF_OP,3,CRY,57,2021
LGMA_Ex,3,DES,33,2022
LGMA_OP,3,AGE,31,2022
LGMB_Ex,3,OSM,88,2022
LGMB_OP,3,BC,32,2022
LGMC_Ex,3,OSM,34,2022
LGMC_OP,3,DES,30,2022
LGMD_Ex,3,PAR,32,2022
LGMD_OP,3,DES,57,2022
LGME_Ex,3,DES,36,2022
LGME_OP,3,ASH,28,2022
LGMF_Ex,3,GOLD,41,2022
LGMF_OP,3,ASH,38,2022
HGMC_Ex,3,WOOD,75,2022
HGMC_OP,3,ALL,73,2022
HGMB_Ex,3,GEUM,39,2022
HGMB_OP,3,ASH,49,2022
HGMA_Ex,3,RUB,147,2022
HGMA_OP,3,PAR,32,2022
HGMD_Ex,3,GER,72,2022
HGMD_OP,3,CRY,23,2022
HGME_Ex,3,WOOD,76,2022
HGME_OP,3,DES,19,2022
HGMF_Ex,3,WOOD,58,2022
HGMF_OP,3,GER,36,2022
LGMA_Ex,4,DES,79,2019
LGMA_OP,4,AGE,73,2019
LGMB_Ex,4,DES,54,2019
LGMB_OP,4,DES,37,2019
LGMC_Ex,4,AGE,46,2019
LGMC_OP,4,GEUM,43,2019
LGMD_Ex,4,CIR,44,2019
LGMD_OP,4,DES,42,2019
LGME_Ex,4,DES,62,2019
LGME_OP,4,DES,36,2019
