X,Y,Year,PLOT,ALL_TOT,ALL_ros,ALL_stC,ALL_stN,DES,AMP,GER,AGE,CIR,PHR,PAR,RIB,RUB,RHA,NON_PLA,HERB_sp,HERB_cv,WDY_sp,WDY_cv,FER_sp,FER_cv,DIO_VIL,CRY_CAN,GAL_ASP,THA_THA,SOL_SP,PRU_SER,PRU_VIR,FRA_SP,RAN_REC,RAN_MIC,VIO,ARROW_VINE,GRASS_COV,GRASS_SP,OAK_SP,OAK_COV,LON,JACK
800,143,2018,LGMA_Ex,1.5,0.5,1,3,50,16,0,6,1,0,1,0,0,0,0,3,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0,0
800,143,2018,LGMA_OP,0,0,0,0,30,7,0,21,0,2,0,0,8,0,0,4,4,1,1,0,0,0,0,0.1,7,3,0,0,0,0,0,0,0,3,2,1,2,1,0
802,144,2018,LGMB_Ex,0,0,0,0,11,38,0,3,0,0,0,0,3,0,0,1,3,1,2,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
802,144,2018,LGMB_OP,0,0,0,0,18,44,1,0,0,0,0,0,5,0,0,1,2,0,0,0,0,0,0,0.5,2,1,3,0,0,0,0,0,0,0.1,1,0,0,0,0
804,145,2018,LGMC_Ex,2,2,0,0,10,32,1,2,0,0,2,0,8,0,0,2,0.1,1,0.1,0,0,0,0,3,0,0,0.1,0,0,0,0,0,0,0.1,1,0,0,0,0
804,145,2018,LGMC_OP,0.5,0.5,0.1,1,14,35,5,0.5,0,0,0,0,6,0,0,1,0.5,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816,152,2018,LGMD_Ex,3,2,0.5,2,13,28,5,2,1,0,2,0,0.5,0,0,1,0.5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,1,0.1,1,1,0,0
816,152,2018,LGMD_OP,1,0.1,1,1,20,52,3,0.5,0,0,0,0,0,0,0,3,1,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3
816,154,2018,LGME_Ex,4,4,0,0,20,8,1,0.5,2,0,0,0,11,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0.5,2,0,0,0,0
816,154,2018,LGME_OP,1,1,0,0,27,12,0,0.5,1,0,0,0,12,0,0,2,4,1,0.5,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
814,152,2018,LGMF_Ex,1,1,0.1,1,6,31,7,0.5,0,0,0,0,0,0,0,4,0.5,1,3,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0.5,1,1,1,0,0
814,152,2018,LGMF_OP,0.5,0.5,0,0,9,30,7,0.1,1,0,0,0,0,0,0,1,0.5,0,0,0,0,12,0,0,0,7,0,0,5,0,0,0,0,0.1,1,1,1,0,0
818,182,2018,HGMC_Ex,3,3,0.1,1,28,0,10,0.1,1,0,1,0.5,0,0,0,1,3,0,0,0,0,0,7,0,0,0.5,0,0,0,0,0,2,0,0,0,0,0,0,0
818,182,2018,HGMC_OP,7,7,0,0,17,0,3,0.5,1,0.5,0,1,0,0,0,0,0,1,1,0,0,0,12,0,0,1,0,0,0.5,0,0,0,0,1,0.5,0,0,0,0
816,180,2018,HGMB_Ex,6,0,6,9,18,18,0,0.1,4,11,2,0,0,0,0,1,1,0,0,0,0,0,18,0,0,5,0,0,7,0,0,0,0,0.5,1,0,0,0,0
816,180,2018,HGMB_OP,7,0,7,10,1,0,0,2,7,5,1,0,2,0,0,0,0,1,2,0,0,0,15,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0
814,178,2018,HGMA_Ex,10,1,9,16,22,4,6,0.5,5,0.5,0.5,0,8,0,0,1,0.5,0,0,1,6,0,8,0,0,0,0,0,1,1,1,0,0,0.1,1,0,0,0,0
814,178,2018,HGMA_OP,5,3,2,2,17,13,1,1,0,1,6,0,0,,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0.5,0,0,0.5,1,0,0,0,0
820,178,2018,HGMD_Ex,5,5,0,0,13,17,13,0.5,9,8,0,0,0,0,0,2,2,0,0,0,0,0,12,0,0,0.5,0,0,7,0,0,0,0,0,0,0,0,0,0
820,178,2018,HGMD_OP,1,1,0,0,27,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,1,1,1,0.5,0,3
818,176,2018,HGME_Ex,5,4,1,3,8,0,2,5,2,0.5,0,0,0,0,0,1,21,0,0,0,0,17,33,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0
818,176,2018,HGME_OP,6,6,0,0,28,0,10,2,0,0,0,0,0,0,0,1,12,0,0,0,0,>0,19,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
818,174,2018,HGMF_Ex,1,1,0,0,27,0,8,5,5,0.5,0.5,2,0,0,0,1,0.5,0,0,0,0,0,34,0,0,3,0,0,0.5,0,0.1,0,0,2,2,0,0,0,0
818,174,2018,HGMF_OP,6,5,1,1,8,0,2,14,4,9,4,1,0,0,0,1,0.1,0,0,0,0,0,34,0,0,0,0,0,6,0,0,0,0,2,1,0,0,0,0.5
