X,Y,Plot,Tall1_sp,Tall1_ht,Tall2_sp,Tall2_ht,Tall3_sp,Tall3_ht,Tall4_sp,Tall4_ht,Tall5_sp,Tall5_ht
800,143,LGMA_Ex,DES,101,DES,89,BLACK,86,DES,75,DES,65
800,143,LGMA_OP,RUB,84,AGE,82,AGE,69,AGE,69,AGE,69
802,144,LGMB_Ex,ASP,200,RUB,162,UNK,121,DES,79,ASP,52
802,144,LGMB_OP,RUB,200,DES,64,DES,58,DES,43,DES,40
804,145,LGMC_Ex,RUB,160,AGE,71,AGE,65,AGE,65,GER,63
804,145,LGMC_OP,RUB,175,DES,54,DES,40,DES,32,DES,30
816,152,LGMD_Ex,RUB,200,RUB,200,GER,35,PAR,32,GER,29
816,152,LGMD_OP,FERN,72,FERN,53,FERN,50,DES,35,NA,NA
816,154,LGME_Ex,DES,45,DES,43,CIR,43,CIR,43,CIR,42
816,154,LGME_OP,ALL,80,RUB,55,DES,40,RUB,38,DES,29
814,152,LGMF_Ex,ALL,118,STICK,94,GOLD,82,GOLD,81,GOLD,56
814,152,LGMF_OP,GOLD,28,GOLD,27,ASH,27,DES,26,ALL,16
818,152,HGMC_Ex,WOOD,105,WOOD,96,WOOD,95,WOOD,85,WOOD,79
818,152,HGMC_OP,CRY,43,CRY,38,CRY,37,DES,36,CRY,35
816,180,HGMB_Ex,DES,109,BLACK,102,DES,70,DES,56,CIR,47
816,180,HGMB_OP,RUB,170,RUB,148,PHR,65,ASH,50,ASH,46
814,178,HGMA_Ex,RUB,200,RUB,142,CIR,60,GER,54,GER,51
814,178,HGMA_OP,RUB,200,RUB,104,ALL,84,CRY,47,DES,36
820,178,HGMD_Ex,ASH,85,ASH,83,PHR,75,GER,65,CRY,63
820,178,HGMD_OP,DES,48,CRY,45,CRY,45,JEWEL,33,DES,25
818,174,HGMF_Ex,WOOD,79,CRY,76,CRY,70,CRY,63,WOOD,63
818,174,HGMF_OP,GRASS,66,GRASS,57,CRY,57,CRY,54,GRASS,51
