X,Y,PLOT,Tall1_sp,Tall1_ht,Tall2_sp,Tall2_ht,Tall3_sp,Tall3_ht,Tall4_sp,Tall4_ht,Tall5_sp,Tall5_ht
800,143,LGMA_Ex,DES,41,GEOM,35,DES,33,DES,32,DES,29
800,143,LGMA_OP,RUB,51,AGE,43,AGE,31,AGE,34,AGE,33
802,144,LGMB_Ex,ASPEN,200,RUB,105,ZIZ,88,OSM,40,RUB,33
802,144,LGMB_OP,BC,50,DES,33,DES,32,BC,28,DES,27
804,145,LGMC_Ex,RUB ,115,GER,55,AGE,34,OSM,39,AGE,31
804,145,LGMC_OP,RUB,200,BOX,33,DES,30,DES,27,DES,23
816,152,LGMD_Ex,RUB,200,RUB,69,GER,32,PAR,32,PAR,29
816,152,LGMD_OP,FERN,63,FERN,59,FERN,57,DES,34,DES,22
816,154,LGME_Ex,RUB,174,RUB,46,GER,36,DES,31,CIR,24
816,154,LGME_OP,RUB,64,RUB,51,RUB,28,ASH,24,STICK,19
814,152,LGMF_Ex,GER,47,GOLD,42,GOLD,41,GOLD,40,GOLD,39
814,152,LGMF_OP,GM,75,GM,63,GER,38,ASH,35,GER,33
818,182,HGMC_Ex,WOOD,83,WOOD,82,WOOD,75,WOOD,73,WOOD,72
818,182,HGMC_OP,GM,77,GM,76,GM,73,GM,72,GM,70
816,180,HGMB_Ex,GM,83,CRY,41,PHR,39,GEOM,37,PHR,36
816,180,HGMB_OP,RUB,160,RUB,119,RAN MIC,49,ASH,47,CRY,44
814,178,HGMA_Ex,RUB,200,RUB,191,RUB,147,RUB,69,GER,54
814,178,HGMA_OP,RUB,107,GM,42,PAR,32,PAR,27,DES,26
820,178,HGMD_Ex,ASH,106,ASH,104,GER,72,GER,63,GER,62
820,178,HGMD_OP,RUB,33,RUB,31,GER,23,CRY,18,AGE,17
818,176,HGME_Ex,WOOD,77,WOOD,76,WOOD,76,WOOD,74,WOOD,73
818,176,HGME_OP,DES,33,GER,26,GER,19,DES,19,WOOD,19
818,174,HGMF_Ex,WOOD,69,RAN MIC,69,GER,58,WOOD,56,GER,54
818,174,HGMF_OP,CONE,54,DES,39,PHR,36,GER,35,DES,33
